Rank,Name,Platform,Genre,Publisher,ESRB_Rating,Developer,User_Score
2002,Army of Two,PS3,Shooter,Electronic Arts,M,EA Montreal,6.9
2020,World of Warcraft,PC,MMO,Blizzard Entertainment,T,Blizzard Entertainment,8
2030,The Elder Scrolls V: Skyrim,NS,Role-Playing,Bethesda Softworks,M,Bethesda Softworks,9.1
2057,Shadow of the Colossus,PS2,Adventure,Sony Computer Entertainment,T,Team ICO,9.4
2082,Mirror's Edge,PS3,Platform,Electronic Arts,T,EA Digital Illusions CE,8.2
2166,FIFA 18,NS,Sports,EA Sports,E,EA Vancouver,9.1
2204,Dante's Inferno,PS3,Action,Electronic Arts,M,Visceral Games,8.3
2217,Star Fox: Assault,GC,Shooter,Nintendo,T,Namco,8.5
2224,Prince of Persia,PS3,Adventure,Ubisoft,T,Ubisoft Montreal,8.2
2343,Dragon Ball Z: Budokai Tenkaichi 3,Wii,Fighting,Atari,T,Spike / Bandai Namco Games,8.6
2379,Prince of Persia,X360,Adventure,Ubisoft,T,Ubisoft Montreal,6
2398,Devil May Cry 3: Dante's Awakening Special Edition,PS2,Action,Capcom,M,Capcom,8.6
2416,MotorStorm: Pacific Rift,PS3,Racing,Sony Computer Entertainment,T,Evolution Studios,8.7
2426,Valkyria Chronicles,PS3,Role-Playing,Sega,T,Sega WOW Overworks,9.8
2447,Tales of Graces f,PS3,Role-Playing,Namco Bandai,T,Namco Tales Studio,8
2514,de Blob,Wii,Platform,THQ,E,Blue Tongue,8
2547,Red Steel,Wii,Shooter,Ubisoft,T,Ubisoft Paris,7.8
2554,White Knight Chronicles: International Edition,PS3,Role-Playing,Sony Computer Entertainment,T,Level 5,7.9
2602,Bayonetta,X360,Action,Sega,M,PlatinumGames,9.5
2665,Lost Odyssey,X360,Role-Playing,Microsoft Game Studios,T,Mistwalker Corporation / Feelplus Inc.,9.3
2680,Resistance: Retribution,PSP,Shooter,Sony Computer Entertainment,M,SCEA Bend Studio,7.6
2766,Paper Mario: Color Splash,WiiU,Action-Adventure,Nintendo,E,Intelligent Systems,6.4
3026,MadWorld,Wii,Action,Sega,M,PlatinumGames,8.1
3043,Tom Clancy's Splinter Cell: Double Agent,X360,Action,Ubisoft,M,Ubisoft Shanghai,8.3
3075,Perfect Dark Zero,X360,Shooter,Microsoft Game Studios,M,Rare Ltd.,8.9
3138,Harry Potter and the Half-Blood Prince,Wii,Action,Electronic Arts,E10,Bright Light Productions,3.8
3206,X-Men Origins: Wolverine - Uncaged Edition,PS3,Action,Activision,M,Raven Software,8.7
3214,Tales of Vesperia,X360,Role-Playing,Namco Bandai,T,Namco Tales Studio,9.2
3215,Resonance of Fate,PS3,Role-Playing,Sega,T,tri-Ace,8.2
3251,Star Ocean: The Last Hope International,PS3,Role-Playing,Square Enix,T,tri-Ace,9.5
3314,Silent Hill 3,PS2,Adventure,Konami,M,Team Silent,9
3438,The Last Remnant,X360,Role-Playing,Square Enix,M,Square Enix,8
3625,New Play Control! Pikmin,Wii,Strategy,Nintendo,E,Nintendo EAD,9.3
3634,Phantasy Star Portable,PSP,Role-Playing,Sega,T,Alfa System,9.1
3700,Okami,PS2,Adventure,Capcom,T,Clover Studio,9
3732,Red Steel 2,Wii,Shooter,Ubisoft,T,Ubisoft Paris,8.5
3774,Metroid Prime: Trilogy,Wii,Shooter,Nintendo,T,Retro Studios,9.6
3831,Okami,Wii,Adventure,Capcom,T,Ready at Dawn Studios,9.6
3834,Suikoden,PS,Role-Playing,Konami,E,Konami,8
3835,Muramasa: The Demon Blade,Wii,Role-Playing,Ignition Entertainment,T,Vanillaware,9.3
4069,Starlink: Battle for Atlas,NS,Action-Adventure,Ubisoft,E10,Ubisoft Toronto,6
4120,Tom Clancy's HAWX,PS3,Action,Ubisoft,T,Ubisoft Romania,8.4
4146,DOOM VFR,PS4,Shooter,Bethesda Softworks,M,id Software,8
4161,No More Heroes,Wii,Action,Ubisoft,M,Grasshopper Manufacture,8.3
4169,Lunar: Silver Star Story Complete,PS,Role-Playing,Working Designs,T,Game Arts,10
4267,Hotel Dusk: Room 215,DS,Adventure,Nintendo,T,Cing,6.9
4396,Tales of Symphonia: Dawn of the New World,Wii,Role-Playing,Namco Bandai,T,Namco Tales Studio,8.3
4521,Fire Emblem Warriors,NS,Action,Nintendo,T,Omega Force,9.6
4629,Fire Emblem: Radiant Dawn,Wii,Strategy,Nintendo,E10,Intelligent Systems,8.5
4814,Silent Hill: Shattered Memories,Wii,Adventure,Konami,M,Climax Group,6.8
4980,Crash of the Titans,Wii,Action,Sierra Entertainment,E,Radical Entertainment,9.2
4986,L.A. Noire,NS,Adventure,Rockstar Games,M,Team Bondi,8
5044,Sid Meier's Civilization Revolution,DS,Strategy,2K Games,E10,Firaxis,7.6
5209,Asura's Wrath,PS3,Action,Capcom,T,CyberConnect2,8.3
5210,Doom (2016),NS,Shooter,Bethesda Softworks,M,id Software,9.1
5404,NiGHTS: Journey of Dreams,Wii,Platform,Sega,E,Sonic Team,9.1
5782,Bionic Commando,X360,Adventure,Capcom,M,GRIN,8
5845,Vampyr,PS4,Role-Playing,Focus Home Interactive,M,DONTNOD Entertainment,8.5
5890,Castlevania: Order of Ecclesia,DS,Platform,Konami,T,Konami,9.2
6165,WWE Day of Reckoning 2,GC,Fighting,THQ,T,Yuke's Future Media Creators,8.5
6352,Golden Axe: Beast Rider,X360,Action,Sega,M,Secret Level,7
6438,Folklore,PS3,Role-Playing,Sony Computer Entertainment,T,Game Republic,8.7
