Name,Genre,Publisher,ESRB_Rating,Developer,User_Score
Dante's Inferno,Action,Electronic Arts,M,Visceral Games,8.3
Star Fox: Assault,Shooter,Nintendo,T,Namco,8.5
Dragon Ball Z: Budokai Tenkaichi 3,Fighting,Atari,T,Spike / Bandai Namco Games,8.6
Prince of Persia,Adventure,Ubisoft,T,Ubisoft Montreal,6.0
Devil May Cry 3: Dante's Awakening Special Edition,Action,Capcom,M,Capcom,8.6
MotorStorm: Pacific Rift,Racing,Sony Computer Entertainment,T,Evolution Studios,8.7
Valkyria Chronicles,Role-Playing,Sega,T,Sega WOW Overworks,9.8
Tales of Graces f,Role-Playing,Namco Bandai,T,Namco Tales Studio,8.0
de Blob,Platform,THQ,E,Blue Tongue,8.0
Red Steel,Shooter,Ubisoft,T,Ubisoft Paris,7.8
White Knight Chronicles: International Edition,Role-Playing,Sony Computer Entertainment,T,Level 5,7.9
Lost Odyssey,Role-Playing,Microsoft Game Studios,T,Mistwalker Corporation / Feelplus Inc.,9.3
Resistance: Retribution,Shooter,Sony Computer Entertainment,M,SCEA Bend Studio,7.6
Paper Mario: Color Splash,Action-Adventure,Nintendo,E,Intelligent Systems,6.4
MadWorld,Action,Sega,M,PlatinumGames,8.1
Tom Clancy's Splinter Cell: Double Agent,Action,Ubisoft,M,Ubisoft Shanghai,8.3
Perfect Dark Zero,Shooter,Microsoft Game Studios,M,Rare Ltd.,8.9
Harry Potter and the Half-Blood Prince,Action,Electronic Arts,E10,Bright Light Productions,3.8
X-Men Origins: Wolverine - Uncaged Edition,Action,Activision,M,Raven Software,8.7
Tales of Vesperia,Role-Playing,Namco Bandai,T,Namco Tales Studio,9.2
Resonance of Fate,Role-Playing,Sega,T,tri-Ace,8.2
Star Ocean: The Last Hope International,Role-Playing,Square Enix,T,tri-Ace,9.5
Silent Hill 3,Adventure,Konami,M,Team Silent,9.0
The Last Remnant,Role-Playing,Square Enix,M,Square Enix,8.0
New Play Control! Pikmin,Strategy,Nintendo,E,Nintendo EAD,9.3
Phantasy Star Portable,Role-Playing,Sega,T,Alfa System,9.1
Okami,Adventure,Capcom,T,Clover Studio,9.0
Red Steel 2,Shooter,Ubisoft,T,Ubisoft Paris,8.5
Metroid Prime: Trilogy,Shooter,Nintendo,T,Retro Studios,9.6
Suikoden,Role-Playing,Konami,E,Konami,8.0
Muramasa: The Demon Blade,Role-Playing,Ignition Entertainment,T,Vanillaware,9.3
Starlink: Battle for Atlas,Action-Adventure,Ubisoft,E10,Ubisoft Toronto,6.0
Tom Clancy's HAWX,Action,Ubisoft,T,Ubisoft Romania,8.4
DOOM VFR,Shooter,Bethesda Softworks,M,id Software,8.0
No More Heroes,Action,Ubisoft,M,Grasshopper Manufacture,8.3
Lunar: Silver Star Story Complete,Role-Playing,Working Designs,T,Game Arts,10.0
Hotel Dusk: Room 215,Adventure,Nintendo,T,Cing,6.9
Tales of Symphonia: Dawn of the New World,Role-Playing,Namco Bandai,T,Namco Tales Studio,8.3
Fire Emblem Warriors,Action,Nintendo,T,Omega Force,9.6
Fire Emblem: Radiant Dawn,Strategy,Nintendo,E10,Intelligent Systems,8.5
Silent Hill: Shattered Memories,Adventure,Konami,M,Climax Group,6.8
Crash of the Titans,Action,Sierra Entertainment,E,Radical Entertainment,9.2
L.A. Noire,Adventure,Rockstar Games,M,Team Bondi,8.0
Sid Meier's Civilization Revolution,Strategy,2K Games,E10,Firaxis,7.6
Asura's Wrath,Action,Capcom,T,CyberConnect2,8.3
Doom (2016),Shooter,Bethesda Softworks,M,id Software,9.1
NiGHTS: Journey of Dreams,Platform,Sega,E,Sonic Team,9.1
Bionic Commando,Adventure,Capcom,M,GRIN,8.0
Vampyr,Role-Playing,Focus Home Interactive,M,DONTNOD Entertainment,8.5
Castlevania: Order of Ecclesia,Platform,Konami,T,Konami,9.2
WWE Day of Reckoning 2,Fighting,THQ,T,Yuke's Future Media Creators,8.5
Golden Axe: Beast Rider,Action,Sega,M,Secret Level,7.0
Folklore,Role-Playing,Sony Computer Entertainment,T,Game Republic,8.7
Might & Magic: Clash of Heroes,Role-Playing,Ubisoft,E10,Capybara Games,8.0
Little King's Story,Strategy,Xseed Games,T,Cing Inc. / Town Factory,9.0
Dead Rising: Chop Till You Drop,Action,Capcom,M,Capcom Production Studio 1 / TOSE Software,7.2
Darksiders,Action,THQ,M,Vigil Games,8.5
The Conduit,Shooter,Sega,T,High Voltage Software,8.2
Shin Megami Tensei: Devil Survivor,Role-Playing,Atlus,T,Atlus Co.,8.8
Deadly Premonition,Action,Ignition Entertainment,M,Access Games,7.8
MotoGP '07,Racing,THQ,E,Climax Studios,8.0
Grandia,Role-Playing,Sony Computer Entertainment,E,Game Arts,9.0
Deadly Creatures,Action,THQ,T,Rainbow Studios,6.8
Afrika,Adventure,Natsume,E10,Rhino Studios,8.0
NBA,Sports,Sony Computer Entertainment,E,989 Sports,7.2
Dragon Ball: Revenge of King Piccolo,Action,Namco Bandai,E10,Bandai Namco Games,8.0
FIFA 07 Soccer,Sports,EA Sports,E,EA Canada,7.6
Disgaea PC,Role-Playing,NIS America,T,Nippon Ichi Software,9.5
Castlevania Judgment,Fighting,Konami,T,Konami / Eighting,7.5
Geist,Adventure,Nintendo,M,n-Space,7.6
South Park: The Fractured But Whole,Role-Playing,Ubisoft,M,Ubisoft San Francisco,9.5
Valhalla Knights: Eldar Saga,Role-Playing,Xseed Games,T,K2 / Kurogane,7.9
