Name,Genre,Publisher,ESRB_Rating,Developer,Critic_Score
Kingdom Hearts II,Role-Playing,Square Enix,E10,Square Enix,8.3
God of War III,Action,Sony Computer Entertainment,M,SCEA Santa Monica Studio,9.2
Nintendo Land,Party,Nintendo,E10,Nintendo,7.8
Super Mario Land 3: Wario Land,Platform,Nintendo,E,Nintendo R&D1,7.9
Medal of Honor: Rising Sun,Shooter,Electronic Arts,T,EA Los Angeles,5.9
Microsoft Flight Simulator,Simulation,Microsoft,E,Microsoft,7.0
Resident Evil 5,Action,Capcom,M,Capcom,8.6
Mario & Sonic at the Olympic Games,Sports,Sega,E,Sega,7.0
Grand Theft Auto: Vice City Stories,Action,Rockstar Games,M,Rockstar Leeds,8.4
Super Mario Bros. Deluxe,Platform,Nintendo,E,Nintendo EAD,9.7
Final Fantasy XV,Role-Playing,Square Enix,T,Square Enix,8.1
Fallout 4,Role-Playing,Bethesda Softworks,M,Bethesda Game Studios,8.4
Spyro the Dragon,Platform,Sony Computer Entertainment,E,Insomniac Games,8.7
Gears of War 2,Shooter,Microsoft Game Studios,M,Epic Games,9.4
Halo 5: Guardians,Shooter,Microsoft Studios,T,343 Industries,8.6
Guitar Hero III: Legends of Rock,Misc,RedOctane,T,BudCat Creations,8.2
Uncharted: Drake's Fortune,Action,Sony Computer Entertainment,T,Naughty Dog,8.7
Splatoon,Shooter,Nintendo,E10,Nintendo EAD,8.4
Dragon Quest VIII: Journey of the Cursed King,Role-Playing,Square Enix,T,Level 5 / Armor Project,8.6
Diddy Kong Racing,Racing,Nintendo,E,Rare Ltd.,8.3
Pokemon Mystery Dungeon: Explorers of Time / Darkness,Role-Playing,Nintendo,E,ChunSoft,6.4
Crash Team Racing,Racing,Sony Computer Entertainment,E,Naughty Dog,9.2
LEGO Star Wars: The Complete Saga,Action,LucasArts,E,Traveller's Tales,7.8
The Legend of Zelda: Phantom Hourglass,Adventure,Nintendo,E,Nintendo EAD,9.1
Driver 2,Action,Atari,T,Reflections Interactive,7.0
The Simpsons: Hit & Run,Racing,VU Games,T,Radical Entertainment,7.7
World of Warcraft: Cataclysm,MMO,Blizzard Entertainment,T,Blizzard Entertainment,9.0
Monster Hunter: World,Action,Capcom,T,Capcom,9.3
Gran Turismo,Racing,Sony Computer Entertainment,E,Polyphony Digital,7.7
The Lord of the Rings: The Two Towers,Action,Electronic Arts,T,Stormfront Studios,8.3
God of War,Action,Sony Computer Entertainment,M,SCEA Santa Monica Studio,9.3
Forza Motorsport 4,Racing,Microsoft Studios,E,Turn 10 Studio,9.1
"Pokemon: Let's Go, Pikachu!",Role-Playing,Nintendo,E,Game Freak,8.3
Mario & Luigi: Bowser's Inside Story,Role-Playing,Nintendo,E,AlphaDream Corporation,9.1
Mario & Sonic at the Olympic Winter Games,Sports,Sega,E,Sega,6.8
StarCraft II: Wings of Liberty,Strategy,Blizzard Entertainment,T,Blizzard Entertainment,9.3
Warcraft III: Reign of Chaos,Strategy,Blizzard Entertainment,T,Blizzard Entertainment,9.3
Professor Layton and the Curious Village,Adventure,Nintendo,E,Level 5,8.7
Nintendogs + cats,Simulation,Nintendo,E,Nintendo EAD,7.2
The Elder Scrolls IV: Oblivion,Role-Playing,Take-Two Interactive,M,Bethesda Softworks,9.2
Resistance: Fall of Man,Shooter,Sony Computer Entertainment,M,Insomniac Games,8.5
Animal Crossing: City Folk,Simulation,Nintendo,E,Nintendo EAD,7.1
Dragon Quest VII,Role-Playing,Enix,T,Heart Beat,8.0
Monster Hunter Generations,Action,Capcom,T,Capcom,8.8
Batman: Arkham Asylum,Action,Eidos Interactive,T,Rocksteady Studios,9.0
God of War II,Action,Sony Computer Entertainment,M,SCEA Santa Monica Studio,9.3
Daxter,Platform,Sony Computer Entertainment,E10,Ready at Dawn,8.6
Super Paper Mario,Platform,Nintendo,E,Intelligent Systems,8.5
Metal Gear Solid 3: Snake Eater,Action,Konami,M,KCEJ / Kojima Productions,9.0
Assassin's Creed: Revelations,Action,Ubisoft,M,Ubisoft Montreal,7.9
Monster Hunter 4 Ultimate,Role-Playing,Capcom,T,Capcom,8.8
Star Wars Battlefront (2015),Shooter,Electronic Arts,T,EA DICE,6.9
Super Mario World 2: Yoshi's Island,Platform,Nintendo,E,Nintendo EAD,9.0
Batman: Arkham Knight,Action,Warner Bros. Interactive,M,Rocksteady Studios,8.1
The Sims 4,Simulation,Electronic Arts,T,Maxis,7.0
Far Cry 4,Shooter,Ubisoft,M,Ubisoft Montreal,8.4
Carnival Games,Misc,Global Star Software,E,Cat Daddy Games,4.2
World Soccer Winning Eleven 9,Sports,Konami,E,Konami Computer Entertainment Tokyo,8.9
Forza Motorsport 2,Racing,Microsoft Game Studios,E,Turn 10 Studios,9.1
Tekken Tag Tournament,Fighting,Namco,T,Namco,8.7
Diablo II,Role-Playing,Blizzard Entertainment,M,Blizzard North,8.8
EyeToy Play,Misc,Sony Computer Entertainment,E,SCEE London Studio,7.5
Just Dance,Misc,Ubisoft,E10,Ubisoft Paris,5.4
Star Fox 64,Shooter,Nintendo,E,Nintendo EAD,9.0
World of Warcraft: Wrath of the Lich King,MMO,Blizzard Entertainment,T,Blizzard Entertainment,9.3
Fallout 3,Role-Playing,Bethesda Softworks,M,Bethesda Game Studios,8.8
Left 4 Dead 2,Shooter,Electronic Arts,M,Certain Affinity / Valve Software,9.0
Battlefield 4,Shooter,Electronic Arts,M,EA DICE,8.3
EA Sports Active,Sports,EA Sports,E,EA Vancouver,8.3
