Name,Genre,Publisher,ESRB_Rating,Developer,Critic_Score
SUPER MARIO ADVANCE,Platform,Nintendo,E,Nintendo EAD,8.2
SUPER SMASH BROS.,Fighting,Nintendo,E,HAL Laboratory,8.4
FORZA MOTORSPORT 3,Racing,Microsoft Game Studios,E,Turn 10 Studios,9.2
DRAGON QUEST IX: SENTINELS OF THE STARRY SKIES,Role-Playing,Nintendo,E10,Level 5,8.6
FINAL FANTASY IX,Role-Playing,Square,T,SquareSoft,9.2
FINAL FANTASY X-2,Role-Playing,Square Enix,T,Square Enix,8.3
POKEMON STADIUM,Strategy,Nintendo,E,HAL Laboratory,7.5
SUPER MARIO ADVANCE 4: SUPER MARIO BROS. 3,Platform,Nintendo,E,Nintendo EAD,9.2
FINAL FANTASY XIII,Role-Playing,Square Enix,T,Square Enix,8.0
GRAN TURISMO 5 PROLOGUE,Racing,Sony Computer Entertainment,E,Polyphony Digital,8.3
SUPER SMASH BROS. FOR WII U,Fighting,Nintendo,E10,Bandai Namco Games,9.2
POKEMON PINBALL,Misc,Nintendo,E,Jupiter Corporation,8.7
SUPER MARIO PARTY,Party,Nintendo,E,"Nd Cube Co., Ltd.",7.3
DONKEY KONG 64,Platform,Nintendo,E,Rare Ltd.,9.3
JUST DANCE 2,Misc,Ubisoft,E10,Ubisoft Paris,7.3
TOMB RAIDER II,Adventure,Eidos Interactive,T,Core Design Ltd.,7.6
CALL OF DUTY: ADVANCED WARFARE,Shooter,Activision,M,Sledgehammer Games,8.3
KINGDOM HEARTS II,Role-Playing,Square Enix,E10,Square Enix,8.3
GOD OF WAR III,Action,Sony Computer Entertainment,M,SCEA Santa Monica Studio,9.2
NINTENDO LAND,Party,Nintendo,E10,Nintendo,7.8
SUPER MARIO LAND 3: WARIO LAND,Platform,Nintendo,E,Nintendo R&D1,7.9
MEDAL OF HONOR: RISING SUN,Shooter,Electronic Arts,T,EA Los Angeles,5.9
MICROSOFT FLIGHT SIMULATOR,Simulation,Microsoft,E,Microsoft,7.0
RESIDENT EVIL 5,Action,Capcom,M,Capcom,8.6
MARIO & SONIC AT THE OLYMPIC GAMES,Sports,Sega,E,Sega,7.0
GRAND THEFT AUTO: VICE CITY STORIES,Action,Rockstar Games,M,Rockstar Leeds,8.4
SUPER MARIO BROS. DELUXE,Platform,Nintendo,E,Nintendo EAD,9.7
FINAL FANTASY XV,Role-Playing,Square Enix,T,Square Enix,8.1
FALLOUT 4,Role-Playing,Bethesda Softworks,M,Bethesda Game Studios,8.4
