rank,name,year,genre,na_sales,eu_sales,jp_sales,other_sales,global_sales,critic_score,esrb_rating,userscore,metascore
140,KINECT SPORTS,2010-01-01,Sports,3.92,1.78,0.03,0.51,6.24,7.4,E10,7.5,73
141,GEARS OF WAR 3,2011-01-01,Shooter,4.05,1.62,0.07,0.49,6.24,9.1,M,7.9,91
143,METAL GEAR SOLID 2: SONS OF LIBERTY,2001-01-01,Action,2.45,2.01,0.87,0.72,6.05,9.5,M,8.8,96
144,SONIC THE HEDGEHOG 2,1992-01-01,Platform,4.47,1.2,0.16,0.19,6.03,,,8.8,82
145,METAL GEAR SOLID 4: GUNS OF THE PATRIOTS,2008-01-01,Action,2.63,1.74,0.83,0.83,6.03,9.3,M,8.8,94
148,FINAL FANTASY XII,2006-01-01,Role-Playing,1.88,0,2.33,1.74,5.95,9.4,T,7.9,92
150,DRAGON QUEST IX: SENTINELS OF THE STARRY SKIES,2009-01-01,Role-Playing,0.66,0.69,4.35,0.15,5.84,8.6,E10,8.5,87
153,TEKKEN 2,1996-01-01,Fighting,2.26,1.89,1.36,0.23,5.74,9.1,T,,
154,COOKING MAMA,2006-01-01,Simulation,3.13,1.94,0.07,0.58,5.72,6.6,E,7.3,67
158,SUPER SMASH BROS.,1999-01-01,Fighting,2.95,0.6,1.97,0.04,5.55,8.4,E,,
161,FORZA MOTORSPORT 3,2009-01-01,Racing,2.99,1.92,0.1,0.51,5.51,9.2,E,8.1,92
163,SUPER MARIO ADVANCE,2001-01-01,Platform,3.14,1.24,0.91,0.2,5.49,8.2,E,7.3,84
164,MARIO KART: SUPER CIRCUIT,2001-01-01,Racing,2.62,1.64,0.99,0.23,5.47,9.3,E,,
166,POKEMON STADIUM,1999-01-01,Strategy,3.18,1.24,0.94,0.09,5.45,7.5,E,,
172,POKEMON PINBALL,1999-01-01,Misc,3.02,1.12,1.01,0.16,5.31,8.7,E,,
174,FINAL FANTASY IX,2000-01-01,Role-Playing,1.62,0.77,2.78,0.14,5.3,9.2,T,9.1,85
175,FINAL FANTASY X-2,2003-01-01,Role-Playing,1.92,1.08,2.11,0.17,5.29,8.3,T,7.5,85
176,DONKEY KONG 64,1999-01-01,Platform,3.33,0.79,1.09,0.06,5.27,9.3,E,,
178,PROFESSOR LAYTON AND THE CURIOUS VILLAGE,2007-01-01,Puzzle,1.22,2.48,1.03,0.52,5.26,8.7,E,8.5,85
185,SUPER MARIO LAND 3: WARIO LAND,1994-01-01,Platform,2.49,0.98,1.57,0.15,5.19,7.9,E,,
187,THE LEGEND OF ZELDA: PHANTOM HOURGLASS,2007-01-01,Action,1.9,1.83,0.95,0.49,5.17,9.1,E,8,90
188,DONKEY KONG COUNTRY 2: DIDDY'S KONG QUEST,1995-01-01,Platform,2.1,0.74,2.2,0.11,5.15,8.8,E,,
189,TOMODACHI LIFE,2013-01-01,Simulation,0.96,2.02,1.89,0.28,5.15,7.8,E,7.6,71
192,KIRBY'S DREAM LAND,1992-01-01,Platform,2.71,0.61,1.7,0.11,5.13,,,,
195,MICROSOFT FLIGHT SIMULATOR,1996-01-01,Simulation,3.22,1.69,0,0.2,5.12,7,E,,
203,SUPER MARIO BROS.,1999-01-01,Sports,32.48,4.88,6.96,0.99,45.31,9,E,,
205,WARZONE 2100,1999-01-01,Strategy,2.79,1.89,0,0.33,5.01,,,,
207,LINK'S CROSSBOW TRAINING,2007-01-01,Shooter,3.06,1.18,0.29,0.46,5,6.9,T,7.1,68
210,POKEMON MYSTERY DUNGEON: EXPLORERS OF TIME/EXPLORERS OF DARKNESS,2007-01-01,Role-Playing,1.85,1.2,1.54,0.37,4.96,,,,
211,UNCHARTED: DRAKE'S FORTUNE,2007-01-01,Action,2.31,1.73,0.12,0.78,4.94,8.7,T,8,88
215,MONSTER HUNTER FREEDOM 3,2010-01-01,Role-Playing,0,0,4.87,0,4.87,,,,
218,STARCRAFT II: WINGS OF LIBERTY,2010-01-01,Strategy,2.56,1.68,0,0.59,4.83,9.3,T,8.2,93
221,CRASH TEAM RACING,1999-01-01,Racing,2.57,1.57,0.44,0.21,4.79,9.2,E,,
224,DRIVER 2,2000-01-01,Action,2.36,2.1,0.02,0.25,4.73,7,T,7.8,62
227,ANIMAL CROSSING: CITY FOLK,2008-01-01,Simulation,1.87,1.12,1.32,0.37,4.68,7.1,E,7.6,73
229,FORZA MOTORSPORT 4,2011-01-01,Racing,2.08,2.04,0.06,0.47,4.64,9.1,E,8.2,91
235,LUIGI'S MANSION: DARK MOON,2013-01-01,Action,1.78,1.39,1.1,0.3,4.58,8.6,E,8.5,86
236,SPLATOON,2015-01-01,Shooter,1.55,1.15,1.44,0.43,4.57,8.4,E10,8.7,81
240,PITFALL!,1981-01-01,Platform,4.21,0.24,0,0.05,4.5,,,,
244,UNCHARTED: THE NATHAN DRAKE COLLECTION,2015-01-01,Action,1.96,1.69,0.08,0.74,4.47,,,8.6,86
246,GOD OF WAR,2005-01-01,Action,2.71,1.29,0.02,0.43,4.45,9.3,M,8.9,94
247,NINTENDO LAND,2012-01-01,Misc,2.55,1.11,0.46,0.33,4.44,7.8,E10,7.9,77
252,ZELDA II: THE ADVENTURE OF LINK,1987-01-01,Adventure,2.19,0.5,1.61,0.08,4.38,,,,
254,RESISTANCE: FALL OF MAN,2006-01-01,Shooter,1.73,1.73,0.14,0.75,4.35,8.5,M,8.1,86
259,RED DEAD REDEMPTION,1980-01-01,Shooter,6.49,4.58,0.26,1.6,12.94,9.5,M,8.9,95
260,FABLE II,2008-01-01,Role-Playing,2.51,1.27,0.11,0.41,4.31,9,M,6.6,89
261,HALO 5: GUARDIANS,2015-01-01,Shooter,2.64,1.2,0.03,0.39,4.26,8.6,T,6.5,84
262,SUPER MARIO 3D WORLD,2013-01-01,Platform,2.11,1.11,0.72,0.3,4.25,9.5,E,8.9,93
266,METAL GEAR SOLID 3: SNAKE EATER,2004-01-01,Action,1.46,0,0.83,1.93,4.23,9,M,9,91
267,DAXTER,2006-01-01,Platform,2.45,1.02,0,0.75,4.22,8.6,E10,8.6,85
268,WARCRAFT II: TIDES OF DARKNESS,1995-01-01,Strategy,1.7,2.27,0,0.23,4.21,9.3,T,,
271,EYETOY PLAY,2003-01-01,Misc,0.88,2.3,0.2,0.83,4.2,7.5,E,,
272,UNCHARTED 4: A THIEF'S END,2016-01-01,Shooter,1.3,2.07,0.18,0.65,4.2,9.2,T,8.3,93
273,GRAN TURISMO 5 PROLOGUE,2007-01-01,Racing,1.28,1.83,0.57,0.53,4.2,8.3,E,7.1,80
276,MARIO & SONIC AT THE OLYMPIC GAMES,2011-01-01,Sports,4.22,6.38,1.1,1.49,13.2,7,E,7,70
278,EXCITEBIKE,1984-01-01,Racing,2.04,0.48,1.57,0.07,4.16,,,,
285,THE LEGEND OF ZELDA: SKYWARD SWORD,2011-01-01,Action,2.14,1.2,0.37,0.4,4.1,9.4,T,8.1,93
286,STREET FIGHTER II TURBO,1992-01-01,Fighting,1.42,0.51,2.1,0.07,4.1,,,,
289,WORLD OF WARCRAFT: THE BURNING CRUSADE,2007-01-01,Role-Playing,2.57,1.52,0,0,4.09,9.2,T,8,91
291,GOD OF WAR II,2007-01-01,Action,2.32,0.04,0.04,1.67,4.07,9.3,M,8.9,93
292,FORZA MOTORSPORT 2,2007-01-01,Racing,2.35,1.28,0.03,0.41,4.06,9.1,E,8.3,90
294,NAMCO MUSEUM VOL.3,1996-01-01,Misc,2.28,1.55,0.16,0.06,4.05,,,,
295,TEKKEN TAG TOURNAMENT,2000-01-01,Fighting,1.68,1.51,0.51,0.35,4.05,8.7,T,8.5,85
297,STAR FOX 64,1997-01-01,Shooter,2.78,0.58,0.64,0.04,4.03,9,E,,
301,PROFESSOR LAYTON AND THE DIABOLICAL BOX,2007-01-01,Puzzle,0.92,1.78,0.92,0.37,4,8.5,E10,8.7,84
302,SUPER SMASH BROS. FOR WII U AND 3DS,2009-01-01,Shooter,5.83,2.41,3.22,1,12.47,,,,
304,EA SPORTS ACTIVE,2009-01-01,Sports,2.1,1.36,0.06,0.4,3.92,8.3,E,8.7,81
306,DONKEY KONG LAND,1994-01-01,Platform,1.97,0.76,1.07,0.11,3.91,,,,
309,MONSTER HUNTER 4 ULTIMATE,2014-01-01,Role-Playing,0.67,0.49,2.62,0.11,3.89,8.8,T,8.6,86
310,MOTORSTORM,2006-01-01,Racing,1.53,1.61,0.06,0.67,3.88,8.2,T,7.4,84
312,TEKKEN 5,2005-01-01,Fighting,0.93,1.94,0.31,0.7,3.87,9,T,8.7,88
314,SPORTS CHAMPIONS,2010-01-01,Sports,2.12,1.14,0.1,0.51,3.87,7.6,E10,7.9,76
317,FLASH FOCUS: VISION TRAINING IN MINUTES A DAY,2007-01-01,Misc,0.87,1.57,1.05,0.35,3.84,6.1,E,4.4,59
318,NAMCO MUSEUM VOL.1,1995-01-01,Misc,2.12,1.44,0.22,0.06,3.84,,,,
319,THE LEGEND OF ZELDA: LINK'S AWAKENING,1992-01-01,Action,2.21,0.96,0.54,0.13,3.83,,,,
320,MARIO & LUIGI: BOWSER'S INSIDE STORY,2009-01-01,Role-Playing,2.26,0.48,0.81,0.27,3.83,9.1,E,8.7,90
321,BIG BRAIN ACADEMY: WII DEGREE,2007-01-01,Misc,1.06,1.93,0.41,0.43,3.82,7.1,E,6.9,68
322,NINTENDOGS + CATS,2011-01-01,Simulation,1.44,1.37,0.73,0.27,3.81,7.2,E,,
329,THE SIMS: UNLEASHED,2002-01-01,Simulation,2.03,1.56,0,0.17,3.76,7.3,T,7.6,79
330,SUPER PAPER MARIO,2007-01-01,Platform,1.98,0.88,0.59,0.32,3.76,8.5,E,8,85
334,SPYRO: YEAR OF THE DRAGON,2000-01-01,Platform,1.93,1.58,0,0.19,3.71,9.1,E,8.9,91
336,POKÉMON TRADING CARD GAME,1998-01-01,Strategy,1.49,0.73,1.38,0.1,3.7,,,,
339,FRIEND COLLECTION,2009-01-01,Misc,0,0,3.67,0,3.67,,,,
343,SOCOM: U.S. NAVY SEALS,2002-01-01,Shooter,2.53,0.81,0.06,0.24,3.65,8,M,7.9,82
345,GRAN TURISMO 6,2013-01-01,Racing,0.71,1.8,0.4,0.74,3.64,,,8,81
346,JAK AND DAXTER: THE PRECURSOR LEGACY,2001-01-01,Platform,2.08,1.09,0.15,0.33,3.64,9,E,8.8,90
347,POKEMON SNAP,1999-01-01,Simulation,2.23,0.68,0.66,0.06,3.63,7.9,E,,
356,COOKING MAMA 2: DINNER WITH FRIENDS,2007-01-01,Simulation,1.61,1.5,0.1,0.39,3.61,6.9,E,8,70
357,LUIGI'S MANSION,2001-01-01,Action,2.38,0.67,0.46,0.1,3.6,7.3,E,8.5,78
359,WWF SMACKDOWN!,2000-01-01,Fighting,2.01,1.35,0.06,0.16,3.58,9,T,,
360,CROC: LEGEND OF THE GOBBOS,1997-01-01,Platform,1.57,1.79,0,0.2,3.56,7.6,E,,
362,THE GETAWAY,2002-01-01,Action,1.23,1.77,0.05,0.49,3.54,7.7,M,6.8,72
364,THE LEGEND OF ZELDA: OCARINA OF TIME,2001-01-01,Shooter,6.13,3.16,2.07,0.46,11.81,8.9,E,,
369,SPYRO 2: RIPTO'S RAGE!,1999-01-01,Platform,2.14,1.21,0.01,0.17,3.52,8.7,E,,
373,DONKEY KONG COUNTRY 3: DIXIE KONG'S DOUBLE TROUBLE!,1996-01-01,Platform,1.17,0.5,1.75,0.08,3.51,8.5,E,,
375,KUNG FU,1985-01-01,Action,1.64,0.38,1.42,0.06,3.5,,,,
377,CLUBHOUSE GAMES,2006-01-01,Misc,0.59,1.83,0.73,0.35,3.5,8.3,E,8.3,83
381,GUITAR HERO: ON TOUR,2008-01-01,Misc,2.11,1.01,0.01,0.35,3.48,7.1,E10,8.5,71
386,TEKKEN 4,2002-01-01,Fighting,1.55,1.27,0.33,0.29,3.44,7.9,T,8.2,79
387,DR. MARIO,2013-01-01,Shooter,4.8,1.56,3.52,0.3,10.19,,,,
388,LITTLEBIGPLANET 2,2011-01-01,Platform,1.82,1.07,0.06,0.47,3.42,9.1,E,8.4,91
389,GRAND THEFT AUTO 2,1998-01-01,Action,1.13,2.07,0,0.22,3.42,6.9,M,,
392,F-1 RACE,1990-01-01,Racing,1.73,0.69,0.59,0.4,3.41,,,,
394,CRASH BASH,2000-01-01,Misc,1.56,1.47,0.19,0.17,3.39,6.8,E,8.2,68
397,THE LEGEND OF ZELDA: SPIRIT TRACKS,2009-01-01,Action,1.43,0.94,0.74,0.27,3.38,8.7,E10,7.9,87
399,THE LEGEND OF ZELDA: MAJORA'S MASK,2000-01-01,Action,1.9,0.67,0.73,0.06,3.36,9.3,E,9.1,95
400,PROFESSOR LAYTON AND THE UNWOUND FUTURE,2008-01-01,Puzzle,0.65,1.61,0.82,0.28,3.36,8.4,E10,8.9,86
401,RUGRATS: SEARCH FOR REPTAR,1998-01-01,Adventure,1.63,1.53,0,0.18,3.34,,,,
403,ENGLISH TRAINING: HAVE FUN IMPROVING YOUR SKILLS!,2006-01-01,Misc,0,0.99,2.32,0.02,3.33,,,,
405,RATCHET & CLANK,2002-01-01,Platform,1.44,1.01,0.57,0.3,3.33,,,8.6,85
406,MARIO PARTY 9,2012-01-01,Misc,1.15,1.17,0.76,0.24,3.32,6.5,E,6.8,73
413,WII MUSIC,2008-01-01,Misc,1.36,1.13,0.46,0.32,3.27,5.6,E,4.6,63
414,GRAN TURISMO (PSP),2009-01-01,Racing,0.5,1.59,0.31,0.87,3.27,7.8,E,,
415,MONSTER HUNTER X,2015-01-01,Action,0.25,0.19,2.78,0.04,3.26,,,,
416,TEKKEN,1995-01-01,Fighting,0.95,1.3,0.77,0.22,3.24,8.3,T,,
420,YOKAI WATCH 2 GANSO/HONKE,2014-01-01,Role-Playing,0.03,0,3.18,0,3.22,,,,
421,007: TOMORROW NEVER DIES,1999-01-01,Shooter,1.72,1.33,0,0.16,3.21,6.2,T,,
423,KILLER INSTINCT,1995-01-01,Fighting,2.26,0.72,0.12,0.1,3.2,,,6.3,73
424,WWF SMACKDOWN! 2: KNOW YOUR ROLE,2000-01-01,Fighting,1.76,1.21,0.07,0.16,3.2,8.7,T,8.7,90
425,CRISIS CORE: FINAL FANTASY VII,2007-01-01,Role-Playing,1.35,0.6,0.8,0.44,3.19,8.1,T,8.8,83
426,GOD OF WAR: CHAINS OF OLYMPUS,2008-01-01,Action,1.48,1.01,0.04,0.66,3.19,8.8,M,8.6,91
427,DRAGON QUEST VI: MABOROSHI NO DAICHI,1995-01-01,Role-Playing,0,0,3.19,0,3.19,,,,
428,DANCE CENTRAL,2010-01-01,Misc,2.15,0.77,0.01,0.26,3.19,8.4,T,7.6,82
430,SUPER MARIO MAKER,2015-01-01,Platform,1.18,0.87,0.93,0.2,3.18,7.3,E,8.8,88
433,RHYTHM HEAVEN,2008-01-01,Misc,0.58,0.51,1.93,0.14,3.17,8.5,E,8.6,83
434,ACE COMBAT 04: SHATTERED SKIES,2001-01-01,Simulation,2.06,0.56,0.38,0.17,3.17,8.9,E,8.9,89
435,CLUB PENGUIN: ELITE PENGUIN FORCE,2008-01-01,Adventure,1.88,0.98,0,0.3,3.16,7,E,,
436,ANIMAL CROSSING,2001-01-01,Simulation,1.92,0.16,0.99,0.09,3.15,8.3,E,8.8,87
438,SONIC RUSH,2005-01-01,Platform,1.22,1.57,0.06,0.29,3.15,7.8,E,8.4,82
440,HALO: THE MASTER CHIEF COLLECTION,2014-01-01,Shooter,1.89,0.99,0.03,0.24,3.15,,,7.4,85
443,NEED FOR SPEED III: HOT PURSUIT,1998-01-01,Racing,2.14,0.86,0,0.13,3.12,,,,
444,STAR WARS EPISODE I RACER,1999-01-01,Racing,2.31,0.62,0.14,0.04,3.12,6.6,E,,
445,PERSONAL TRAINER: COOKING,2006-01-01,Misc,0.91,1,1.03,0.17,3.12,8.4,E,7.8,81
447,DRAGON WARRIOR IV,1990-01-01,Role-Playing,0.08,0,3.03,0.01,3.12,,,,
448,HEAVY RAIN,2010-01-01,Adventure,1.29,1.27,0.06,0.5,3.12,8.8,M,7.7,87
452,GRAND THEFT AUTO: LIBERTY CITY STORIES,2001-01-01,Sports,4.46,4.23,0.31,2.25,11.26,8.3,M,7.7,88
453,WORLD CLASS TRACK MEET,1986-01-01,Sports,1.92,0.45,0.64,0.07,3.08,,,,
455,THE LEGEND OF ZELDA: A LINK BETWEEN WORLDS,2013-01-01,Action,1.4,0.99,0.46,0.22,3.07,9.3,E,9,91
457,THE SIMS: VACATION,2002-01-01,Simulation,1.72,1.21,0,0.14,3.07,,,7.7,75
461,EPIC MICKEY,2010-01-01,Platform,2.06,0.64,0.12,0.22,3.04,,,,
463,RAYMAN,1995-01-01,Platform,1.54,1.33,0,0.16,3.03,7,E,,
464,KILLZONE 2,2009-01-01,Shooter,1.4,1.07,0.08,0.47,3.02,9.1,M,8.1,91
466,MIKE TYSON'S PUNCH-OUT!!,1987-01-01,Fighting,2.03,0.47,0.45,0.07,3.02,,,,
467,WWE SMACKDOWN! SHUT YOUR MOUTH,2002-01-01,Sports,1.45,1.13,0.07,0.38,3.02,,,8.6,82
468,GEARS OF WAR: ULTIMATE EDITION,2015-01-01,Shooter,2.38,0.32,0,0.31,3,,,7.6,82
473,STAR FOX,1993-01-01,Shooter,1.61,0.51,0.8,0.07,2.99,,,,
474,THE SIMS: LIVIN LARGE,2000-01-01,Misc,1.67,1.18,0,0.13,2.99,,,,
