rank,name,platform,year,genre,na_sales,eu_sales,jp_sales,other_sales,global_sales,publisher,critic_score,user_score,crtic_esrb_rating,user_esrb_rating
2217,Phantasy Star Portable,PSP,2008,Role-Playing,0.19,0.06,0.63,0.05,0.94,Sega,7.1,9.1,T,T
2219,MLB 06: The Show,PS2,2006,Sports,0.78,0.03,0,0.13,0.94,Sony Computer Entertainment,8.3,,E,
2221,Operation Flashpoint: Dragon Rising,X360,2009,Shooter,0.36,0.45,0.02,0.1,0.93,Codemasters,7.3,,M,
2225,Tony Hawk's Pro Skater 4,XB,2002,Sports,0.59,0.3,0,0.04,0.93,Activision,9.2,,T,
2227,EA Sports Grand Slam Tennis,Wii,2009,Sports,0.29,0.52,0.02,0.11,0.93,Electronic Arts,7.9,,E,
2228,White Knight Chronicles: International Edition,PS3,2008,Role-Playing,0.33,0.16,0.36,0.08,0.93,Sony Computer Entertainment,6.3,7.9,T,T
2230,Sonic Riders: Zero Gravity,Wii,2008,Racing,0.5,0.32,0.02,0.1,0.93,Sega,5.8,,E,
2234,Spider-Man,2600,1981,Action,0.87,0.05,0,0.01,0.93,Parker Bros.,8.4,,E,
2235,Mega Man 4,NES,1991,Platform,0.51,0.09,0.32,0.01,0.93,Capcom,8,,E,
2236,Castlevania II: Simon's Quest,NES,1987,Platform,0.45,0.06,0.42,0,0.93,Konami Digital Entertainment,7,,E,
2239,MLB 07: The Show,PS2,2007,Sports,0.77,0.03,0,0.13,0.93,Sony Computer Entertainment,8.1,,E,
2241,Cars,GC,2006,Racing,0.72,0.19,0,0.03,0.93,THQ,4.5,,E,
2242,Brothers in Arms: Hell's Highway,PS3,2008,Shooter,0.44,0.34,0,0.15,0.93,Ubisoft,6,,M,
2244,Pokken Tournament,WiiU,2016,Fighting,0.47,0.22,0.16,0.07,0.93,Namco Bandai Games,7.6,,E10,
2248,Blue Dragon,X360,2006,Role-Playing,0.3,0.33,0.21,0.08,0.92,Microsoft Game Studios,7.7,,T,
2249,007: The World is not Enough,PS,2000,Action,0.51,0.35,0,0.06,0.92,Electronic Arts,6.4,,T,
2250,NCAA Football 11,X360,2010,Sports,0.86,0,0,0.06,0.92,Electronic Arts,6.4,,E,
2253,EA Sports Active 2,PS3,2010,Sports,0.52,0.28,0,0.12,0.92,Electronic Arts,6.3,,E,
