metascore,name,console,userscore,date
85,SHADOW TACTICS: BLADES OF THE SHOGUN,PS4,8.1,1-Aug-17
86,HER STORY,PC,6,24-Jun-15
86,HOMEWORLD REMASTERED COLLECTION,PC,8.2,25-Feb-15
86,FINAL FANTASY XIV: HEAVENSWARD,PS4,8.1,23-Jun-15
86,HEROES OF THE STORM,PC,6.5,2-Jun-15
86,CODE:REALIZE - GUARDIAN OF REBIRTH,VITA,7.9,20-Oct-15
86,FOOTBALL MANAGER 2013,PC,6.8,1-Nov-12
86,UFC UNDISPUTED 3,PS3,7.3,14-Feb-12
86,BLACK MESA,PC,8.9,14-Sep-12
86,TRIBES: ASCEND,PC,7.8,12-Apr-12
86,CRASHMO,3DS,8.3,22-Nov-12
86,TALES FROM SPACE: MUTANT BLOBS ATTACK,VITA,8.3,21-Feb-12
85,PLANESCAPE: TORMENT - ENHANCED EDITION,PC,6.8,11-Apr-17
85,MARIO + RABBIDS: KINGDOM BATTLE,Switch,8.5,29-Aug-17
84,PROJECT CARS 2,XONE,5.6,22-Sep-17
84,STATIK,PS4,7.8,24-Apr-17
84,KINGDOM HEARTS HD I.5 + II.5 REMIX,PS4,9,28-Mar-17
84,POKEMON ULTRA SUN,3DS,9,17-Nov-17
84,SHOVEL KNIGHT: SPECTER OF TORMENT,Switch,7.8,3-Mar-17
84,RAKUEN,PC,8.2,10-May-17
86,GUNMAN CLIVE HD COLLECTION,WIIU,8.1,3-Sep-15
86,XENOBLADE CHRONICLES 3D,3DS,8.9,10-Apr-15
85,CITIES: SKYLINES,PC,8.9,10-Mar-15
86,DANCE CENTRAL 3,X360,8.1,16-Oct-12
85,MASS EFFECT 3: SPECIAL EDITION,WIIU,7.6,13-Nov-12
85,TRIALS EVOLUTION: ORIGIN OF PAIN,X360,8.4,5-Oct-12
85,OUT OF THE PARK BASEBALL 13,PC,8,9-Apr-12
85,FORZA HORIZON,X360,8.5,23-Oct-12
97,SUPER MARIO GALAXY 2,WII,9.1,23-May-10
85,LIFE IS STRANGE,PS4,8.6,20-Oct-15
85,THE BINDING OF ISAAC: AFTERBIRTH,PC,8.2,30-Oct-15
85,CHAOS REBORN,PC,8.2,26-Oct-15
85,RESOGUN: DEFENDERS,PS4,7.1,17-Feb-15
85,ZENZIZENZIC,PC,6.1,23-Jul-15
85,SYSTEM SHOCK: ENHANCED EDITION,PC,8.5,22-Sep-15
85,DARK SOULS: PREPARE TO DIE EDITION,PC,7.6,23-Aug-12
85,NBA 2K13,WIIU,7.1,18-Nov-12
85,SINE MORA,VITA,7.2,20-Nov-12
85,MORTAL KOMBAT,VITA,7.9,1-May-12
